1.1	aswi	-	aswi	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA	-	1	01	001	kumArasamBavam",@null,@null}
10.1	vagAhya	-	vagAhya	ava_gAh1{avya;lyap;BvAxiH}	ava_gAh1{avya;lyap;BvAxiH}	pUrvakAlaH,11.1	pUrvakAlaH,11.1	1	01	001	kumArasamBavam",@null,@null}
11.1	sWiwaH	-	sWiwaH	sWiwa{puM;1;eka(RWA1;kwa;BvAxiH)}	sWiwa{puM;1;eka(RWA1;kwa;BvAxiH)}	viSeRaNam,5.1	viSeRaNam,14.2#viSeRaNam,5.1	1	01	001	kumArasamBavam",@null,@null}
12.1	pqWivyAH	-	pqWivyAH	pqWivI{swrI;5;eka}/pqWivI{swrI;6;eka}	pqWivI{swrI;6;eka}	RaRTIsambanXaH,14.2	karwA,14.1#karma,14.1#RaRTIsambanXaH,14.2#RaRTIsambanXaH,9.2#RaRTIsambanXaH,8.2#RaRTIsambanXaH,7.2#RaRTIsambanXaH,4.2#RaRTIsambanXaH,3.1#RaRTIsambanXaH,2.1#hewuH5,14.1	1	01	001	kumArasamBavam",@null,@null}
13.1	iva	-	iva	iva{avya}	iva{avya}	sambanXaH,14.2	upamAnam_rahiwa_upamAna_xyowakaH,14.2#sambanXaH,14.2	1	01	001	kumArasamBavam",@null,@null}
14.1	mAna-	-	mAna-xaNdaH	mAna(mA1;lyut;axAxiH)}/mAna(mA2{lyut;juhowyAxiH)}/mAna(mi1{lyut;svAxiH)}/mAna(mI2{lyut;kryAxiH)	mAna(mA1;lyut;axAxiH)	karmaXArayaH,14.2	karmaXArayaH,14.2	1	01	001	kumArasamBavam",@null,@null}
14.2	xaNdaH	-	--	xaNda{puM;1;eka}	xaNda{puM;1;eka}	viSeRaNam,5.1	upamAnam,9.2#viSeRaNam,5.1	1	01	001	kumArasamBavam",@null,@null}
15.1	.	-	.	-	-	-	-	1	01	001	kumArasamBavam",@null,@null}
2.1	uwwarasyAm	-	uwwarasyAm	uwwarA{sarvanAma;swrI;7;eka}	uwwarA{sarvanAma;swrI;7;eka}	viSeRaNam,3.1	viSeRaNam,3.1#aXikaraNam,10.1	1	01	001	kumArasamBavam",@null,@null}
3.1	xiSi	-	xiSi	xiS{swrI;7;eka}	xiS{swrI;7;eka}	xeSAXikaraNam,1.1	aXikaraNam,10.1#xeSAXikaraNam,1.1	1	01	001	kumArasamBavam",@null,@null}
4.1	xevawA-	-	xevawA-AwmA	xevawA	xevawA	bahuvrIhiH,4.2	bahuvrIhiH,4.2	1	01	001	kumArasamBavam",@null,@null}
4.2	AwmA	-	--	Awman{puM;1;eka}	Awman{puM;1;eka}	viSeRaNam,5.1	viSeRaNam,14.2#viSeRaNam,11.1#viSeRaNam,7.2#viSeRaNam,5.1	1	01	001	kumArasamBavam",@null,@null}
5.1	himAlayaH	-	himAlayaH	himAlaya{puM;1;eka}	himAlaya{puM;1;eka}	karwA,1.1	karwA,1.1	1	01	001	kumArasamBavam",@null,@null}
6.1	nAma	-	nAma	nAma{avya}	nAma{avya}	saMjFA_xyowakaH,5.1	saMjFA_xyowakaH,5.1	1	01	001	kumArasamBavam",@null,@null}
7.1	naga-	-	naga-aXirAjaH	naga	naga	RaRTI_wawpuruRaH,7.2	RaRTI_wawpu_ruRaH,7.2#RaRTIwawpu_ruRaH,7.2#RaRTI_wawpuruRaH,9.2#RaRTI_wawpuruRaH,7.2	1	01	001	kumArasamBavam",@null,@null}
7.2	aXirAjaH	-	--	aXirAja{puM;1;eka}	aXirAja{puM;1;eka}	viSeRaNam,5.1	viSeRaNam,14.2#viSeRaNam,11.1#viSeRaNam,5.1	1	01	001	kumArasamBavam",@null,@null}
8.1	pUrva-	-	pUrva-aparO	pUrva	pUrva	iwarewara_xvanxvaH,8.2	samAsaH,8.2#iwarewara_xvanxvaH,8.2	1	01	001	kumArasamBavam",@null,@null}
